,alpha,beta_1,beta_2,beta_3,beta_4,beta_5
FFIV,2.730319078339032e-17,0.4565766055812867,0.053908524583345344,0.11559647822522987,-0.20927684010646297,0.05209586385641154
FI,9.88070109949648e-19,0.7224795197135262,-0.016183526078482252,-0.010049293132121979,-0.0803945219984402,0.04730708079132188
FICO,-2.09504246363308e-18,0.6145360581066501,0.12251605327900104,0.04967601524607283,-0.030697152354527003,-0.030186666101806946
FIS,5.033673435894641e-18,0.6572647986086061,-0.025913282566263195,-0.02909265980984918,-0.053981342446761255,0.00845913651687399
FITB,6.183709925724324e-18,0.5739654008747908,0.28815267711156156,-0.0803200768544811,0.15682005111692832,0.058426482077159135
FMC,4.862112008050142e-18,0.7091831296830812,0.0282590489142244,0.14507430209265834,-0.035528307922819996,-0.05604471527901938
FRT,9.57738492588677e-18,0.7088488082995443,0.28530337643728143,-0.16552684818190155,0.11022497169140104,-0.10282988122698344
GD,4.078156789667704e-18,0.697942731415746,-0.12073834461823413,0.15135460163412562,-0.07213092685579447,-0.0640481447545081
GE,1.3423461979380534e-17,0.7466049941817213,0.18140935707879904,0.003098871319445126,0.056973073684347376,0.022736587721902027
GEN,1.2905554147649998e-17,0.5498241823906901,0.011114021849659504,0.04646794065980964,-0.1278250772167305,0.10771056029402297
GILD,-1.217169762858081e-17,0.49232852158407664,-0.16607351045801041,-0.019364479809946232,-0.057654059804642104,0.09019716404024895
GIS,4.5770853061223705e-18,0.5102419234498877,-0.25317731329284676,-0.07443135090995592,0.09925447444037439,0.02267037731163778
GL,1.1527342937900414e-17,0.7438053148746322,0.21038952731112373,-0.019065315541079292,0.213327207973474,0.03201573245084227
GLW,-3.866757147403311e-18,0.6022719326482884,0.07093520603510566,0.1207756597616002,-0.12469467106702249,0.04108906044064415
GPC,2.9272230579862513e-18,0.7315219919509135,-0.0023841613448391044,-0.05417796583152888,-0.09759388205336256,-0.09711174051496968
GPN,-9.504052131069425e-18,0.552462615526119,-0.016760365398095296,0.02035766434888642,-0.07329117534777738,-0.016298935762714944
GRMN,2.488089217423405e-17,0.48581975509889397,0.06345662839714852,0.05139160471104086,-0.12019836061784735,-0.023031557951887084
GS,-1.675565848374218e-17,0.7339279866143725,0.30551248228223316,0.013990680681857437,0.12625871628424998,0.16988887363234584
GWW,9.41333984157284e-18,0.6882404091788099,0.02846177808741253,0.026884448113207893,-0.09155781214133618,-0.0633830263145797
HAL,-9.267900871670101e-18,0.6304718285453178,-0.0016895107118523878,0.48331499853383636,0.04206365976772157,-0.14409369604280697
HAS,1.7200336636178664e-17,0.5705865640707899,0.026263549711263712,-0.08202688218402376,-0.12847584963785605,-0.09005111299502284
HBAN,5.3330286358192875e-18,0.5358147638109741,0.3294833998834849,-0.12039999442459669,0.1448153979810289,0.06069304763761128
HD,8.522707847882187e-20,0.7321032188753966,0.07112007848848922,-0.2020170527642885,-0.08786474919194692,-0.10834275415355042
HES,2.1421809541415856e-17,0.6146980905225389,-0.016004695483351344,0.3683371228086753,0.040753925564172185,-0.13277631389991806
HIG,-4.077483947565695e-18,0.5471441372849716,0.283028888731601,-0.01074262001994905,0.1836541147019468,0.10945553213495177
HOLX,6.627521232702633e-19,0.5234794698912343,-0.014412383367538813,0.0281828911064703,-0.04171897547984486,-0.020134063899444388
HON,4.640854262972868e-18,0.8009768529077601,-0.01798316576988792,0.16909994437690895,-0.09509722269851908,-0.08062636536685386
HPQ,5.496826724867874e-18,0.5669093113158665,-0.012919693221397192,0.11706258622302751,-0.13874268325086422,0.07478727692921729
HRL,-6.670192682138779e-18,0.45977721629023505,-0.15335546056368513,-0.029070842115021922,0.0016752363088407551,0.0009758167883675041
HSIC,-9.454312462635362e-19,0.6555524758025376,-0.08415106840987742,-0.03900607909764417,-0.012528091988060586,-0.0011340685653835596
HST,2.2216788423308918e-18,0.7672196709288479,0.2858721900333109,-0.09129339393159538,0.08752385288060002,-0.05182367575885702
HSY,1.2340553493407324e-17,0.5273171054955911,-0.16525159780990734,-0.09548768953098646,0.03058330873165377,-0.024490589291833315
HUBB,1.3186828558990182e-18,0.6874165844664047,0.018088463669991086,0.1283206307589993,-0.04604428823597561,-0.048216181938409555
HUM,3.8813971707217326e-18,0.4385446635972647,-0.06652560633640978,-0.0035113292677018022,0.06779252458140797,0.010467903064589045
IBM,2.867056946493619e-17,0.701186209888779,-0.04924463542170244,0.05490784645312205,-0.21081350105068528,0.11361765980534527
IDXX,-2.489684174316924e-18,0.5683610024097737,-0.07832705791574002,0.02683936815889955,-0.0022440651033970686,-0.010286370847970466
IEX,4.8301825883953064e-18,0.7386623534807661,0.07242564941471691,0.10660460371368244,-0.07582593340191714,-0.08128143577466
IFF,6.8759826307557376e-18,0.6849071471270999,-0.014543033438635607,0.05022272555662501,-0.02516361101039485,-0.03950136640334061
ILMN,5.884172626625151e-18,0.3775547655609471,-0.010662252929842108,0.044505414015149375,-0.03751510834920038,0.003499454372788498
INCY,1.4613237214320862e-17,0.4843890490382877,-0.013045845109487163,-0.014815955034077209,-0.018343063746035483,-0.029131046711244103
INTC,4.8510705182364204e-18,0.6961600363840645,-0.013609416985728796,0.08926116825567265,-0.24751968952717301,0.18910939643618463
INTU,-9.913959569177752e-18,0.6311905012137937,-0.03838602134150464,-0.011824892856274263,-0.22738719847955446,0.1103491341761024
IP,4.628929574502366e-18,0.7021678170974908,0.1963151787769092,0.14523833075897816,0.062280026440693484,-0.07778010827717854
IPG,4.5484419183837935e-18,0.6467998085795006,0.0657018657301709,0.041008204982878244,-0.03438305001925279,-0.0019215169609336433
IRM,8.87590924821062e-19,0.5370211790705873,-0.010530941028200284,0.012672203207731419,-0.00406080599991622,-0.07814148963600728
ISRG,-5.575441958576133e-18,0.4728474739240917,-0.008588675613064473,0.001181513048050279,-0.03462164464012019,0.0015901826481866822
IT,-7.954424651432392e-18,0.6136358412279446,0.020132091349793463,0.010471384800047704,-0.06773828276904222,-0.02580201750620986
ITW,1.6226646744453212e-17,0.7813791423012462,0.011871776599608544,0.10158658665970505,-0.06858219003402505,-0.07010362257172618
IVZ,-1.069707273980191e-17,0.78349612643332,0.18315244649874948,-0.014309757928081299,0.03550673045451772,0.05861938178449649
J,5.58481957684597e-18,0.7284462575360904,0.09585552819702653,0.17950258779141104,-0.04135631707464314,-0.09058031239034918
JBHT,-1.6418926414197893e-17,0.6356050863389724,0.10201089325870619,-0.05858330511994322,-0.10243982005917342,-0.10153961304216048
JCI,1.1754604062158442e-17,0.6080697449596526,0.02635282685655293,0.055116429438378654,-0.0523149926726006,-0.022790514965788742
JKHY,-1.9459801371266103e-18,0.7237888274024844,-0.02046924258611059,-0.017587541820176564,-0.08099649704542528,-0.00849042576766996
JNJ,-2.0059589432192317e-17,0.6615158720231054,-0.29413947897843923,-0.07607404262110164,0.1189038691120975,0.11661812051851059
JNPR,-1.91053094377817e-17,0.5437991894625704,0.06465785277064268,0.12995883706318118,-0.15786012423263746,0.05581674477727037
JPM,-1.702415916085643e-18,0.7416023001977666,0.36073262810374196,-0.11709738454057152,0.14101512123789528,0.09329408547397253
K,9.337546926001197e-18,0.5832446000332422,-0.2093304181010203,-0.08611156848528315,0.06741848880423679,0.011081325170933045
KEY,3.641133708670176e-18,0.6373198821422279,0.34087932833601803,-0.09657953485612136,0.1729688902793971,0.09787092120874577
KIM,1.0004487214621486e-17,0.7147362335408589,0.35778652977931397,-0.14562969308579943,0.12484965228718334,-0.07592782353570733
KLAC,-4.280013301632844e-18,0.6384007597167954,0.07748762214035416,0.0821377300535674,-0.2211609126236079,0.04815352867747113
KMB,3.63829865065565e-18,0.6210879565863079,-0.2406252051378145,-0.12986946612075617,0.06174092440883837,-0.023661826317625343
KMX,-4.083642751896208e-18,0.5775037494146021,0.12482405279963554,-0.028803181129464322,-0.06450797160337382,-0.12532315506082545
KO,7.087511461497992e-18,0.6339260983760366,-0.3132073785490947,-0.06474965451138145,0.09195346852912165,0.07102572446982763
KR,-1.2781595769018937e-17,0.5067227774396605,-0.1286408597032413,-0.12063500975438454,-0.01415937332314799,-0.028552588558845196
L,-1.3703398549488565e-17,0.7932629030745885,0.0681055502783336,0.10768306674705799,0.12340352894216265,-0.005533342115141541
LEN,-4.7426521283478555e-18,0.6240744053225911,0.3254105070514072,-0.15078238139001254,0.021575057991377863,-0.15048928592201483
LH,2.6883334099119e-19,0.5303977947430245,-0.15899550416871197,-0.025278668705653748,0.03040355806879006,-0.008854181326102925
LHX,-3.2262699299746736e-18,0.6093020207984092,-0.03504036574722904,0.1256760048965334,-0.11203373356197459,-0.025519356348197124
LIN,2.4801460575655155e-18,0.7589414306182968,-0.012482349398358225,0.13576242908614986,-0.032960472389495954,-0.06163478473106338
LLY,6.008364109494189e-18,0.6557396612756072,-0.28084521840036203,-0.15371093129098218,0.20282077673607252,0.13494725020969692
LMT,-5.1603372811728896e-18,0.6116821550953065,-0.1299176313711305,0.028849198996775634,-0.03375415130579996,-0.06782110506463414
LNT,6.923281584992748e-18,0.6508963758187316,-0.2496280336518325,0.12666289512583526,0.19315446532672287,-0.10042521472684499
LOW,9.725702578966129e-18,0.6836261277149569,0.08414293430771203,-0.18039844249260853,-0.08270040791211666,-0.1447529031707878
LRCX,-3.8340432487998874e-18,0.5975374798157227,0.069631113103457,0.09018048421305819,-0.21799209407882889,0.043498017022663746
LUV,5.515381449613264e-18,0.566718176248958,0.05560820222741113,-0.1110444325829444,-0.0494862242345907,-0.0635810808874243
MAA,1.0992728212112962e-17,0.7050055794250387,0.2753339250930972,-0.16267891245216193,0.14740120733538298,-0.0644332104312928
MAR,1.0447985464190444e-17,0.7439602330034181,0.17982725402707367,-0.028084298302659814,-0.07279212621430918,-0.09151994483753992
